size,type,algorithm,time_ms,comparisons
100,random,quick_sort,0.03823,702.5
100,random,merge_sort,0.12235,609
100,random,string_quicksort,0.10862,606.7
100,random,string_mergesort,0.07912,609
100,random,msd_radix_sort,0.06696,174
100,random,msd_radix_sort_switch,0.02857,158.7
100,reverse,quick_sort,0.04076,1152.4
100,reverse,merge_sort,0.11674,611
100,reverse,string_quicksort,0.09895,653.3
100,reverse,string_mergesort,0.07244,611
100,reverse,msd_radix_sort,0.06932,242
100,reverse,msd_radix_sort_switch,0.09928,569.7
100,almost,quick_sort,0.04072,1139.4
100,almost,merge_sort,0.11266,773
100,almost,string_quicksort,0.12583,626.7
100,almost,string_mergesort,0.08422,773
100,almost,msd_radix_sort,0.07107,236
100,almost,msd_radix_sort_switch,0.09258,528.8
100,prefix,quick_sort,0.16382,29250.3
100,prefix,merge_sort,0.27429,27403
100,prefix,string_quicksort,0.14901,5498.1
100,prefix,string_mergesort,0.17793,27503
100,prefix,msd_radix_sort,0.52695,5148
100,prefix,msd_radix_sort_switch,0.46931,5133.2
200,random,quick_sort,0.08785,1719.9
200,random,merge_sort,0.26934,1486
200,random,string_quicksort,0.23479,1371.1
200,random,string_mergesort,0.17298,1486
200,random,msd_radix_sort,0.1668,395
200,random,msd_radix_sort_switch,0.08467,411.7
200,reverse,quick_sort,0.09485,2530.4
200,reverse,merge_sort,0.32598,1323
200,reverse,string_quicksort,0.20559,1360.5
200,reverse,string_mergesort,0.15707,1323
200,reverse,msd_radix_sort,0.13489,488
200,reverse,msd_radix_sort_switch,0.20178,1128
200,almost,quick_sort,0.08896,2534.3
200,almost,merge_sort,0.2651,1732
200,almost,string_quicksort,0.21844,1428.5
200,almost,string_mergesort,0.16877,1732
200,almost,msd_radix_sort,0.12842,482
200,almost,msd_radix_sort_switch,0.18869,1111.9
200,prefix,quick_sort,0.38699,64753.9
200,prefix,merge_sort,0.55614,65599
200,prefix,string_quicksort,0.2907,11109.3
200,prefix,string_mergesort,0.45318,65949
200,prefix,msd_radix_sort,0.89165,10338
200,prefix,msd_radix_sort_switch,1.05327,10323
300,random,quick_sort,0.14474,2981.3
300,random,merge_sort,0.47577,2511
300,random,string_quicksort,0.45865,2367
300,random,string_mergesort,0.29815,2511
300,random,msd_radix_sort,0.19224,608
300,random,msd_radix_sort_switch,0.13988,726.9
300,reverse,quick_sort,0.15918,4110.9
300,reverse,merge_sort,0.44886,2089
300,reverse,string_quicksort,0.3609,2319.8
300,reverse,string_mergesort,0.25131,2089
300,reverse,msd_radix_sort,0.18718,712
300,reverse,msd_radix_sort_switch,0.3095,1654.1
300,almost,quick_sort,0.14821,4010.9
300,almost,merge_sort,0.42615,2721
300,almost,string_quicksort,0.35093,2315.4
300,almost,string_mergesort,0.26532,2721
300,almost,msd_radix_sort,0.20584,719
300,almost,msd_radix_sort_switch,0.28014,1645
300,prefix,quick_sort,0.62697,112334
300,prefix,merge_sort,0.93796,106919
300,prefix,string_quicksort,0.44448,16874.6
300,prefix,string_mergesort,0.76568,107219
300,prefix,msd_radix_sort,1.38163,15527
300,prefix,msd_radix_sort_switch,1.3917,15589.2
400,random,quick_sort,0.2048,4290.7
400,random,merge_sort,0.64614,3645
400,random,string_quicksort,0.57425,3262.7
400,random,string_mergesort,0.41197,3645
400,random,msd_radix_sort,0.25479,821
400,random,msd_radix_sort_switch,0.20113,1085.5
400,reverse,quick_sort,0.21797,5693.3
400,reverse,merge_sort,0.59411,2822
400,reverse,string_quicksort,0.54254,3237.4
400,reverse,string_mergesort,0.3509,2822
400,reverse,msd_radix_sort,0.26139,972
400,reverse,msd_radix_sort_switch,0.38734,2252.4
400,almost,quick_sort,0.22693,5680.9
400,almost,merge_sort,0.61802,3963
400,almost,string_quicksort,0.50562,3210.5
400,almost,string_mergesort,0.40573,3963
400,almost,msd_radix_sort,0.23039,929
400,almost,msd_radix_sort_switch,0.3747,2115.5
400,prefix,quick_sort,0.96684,157252
400,prefix,merge_sort,1.42504,150775
400,prefix,string_quicksort,0.72144,22807
400,prefix,string_mergesort,1.05327,151325
400,prefix,msd_radix_sort,1.86395,20724
400,prefix,msd_radix_sort_switch,1.8331,20869.1
500,random,quick_sort,0.26788,5847
500,random,merge_sort,0.838,4849
500,random,string_quicksort,0.7324,4209.9
500,random,string_mergesort,0.52258,4849
500,random,msd_radix_sort,0.31776,1050
500,random,msd_radix_sort_switch,0.28065,1507.6
500,reverse,quick_sort,0.27933,7412.8
500,reverse,merge_sort,0.78613,3729
500,reverse,string_quicksort,0.66117,4177.8
500,reverse,string_mergesort,0.47931,3729
500,reverse,msd_radix_sort,0.3365,1222
500,reverse,msd_radix_sort_switch,0.51593,2791.8
500,almost,quick_sort,0.30089,7313.2
500,almost,merge_sort,0.77584,4998
500,almost,string_quicksort,0.67256,4216.5
500,almost,string_mergesort,0.48629,4998
500,almost,msd_radix_sort,0.33535,1213
500,almost,msd_radix_sort_switch,0.46837,2773.7
500,prefix,quick_sort,1.23958,213837
500,prefix,merge_sort,1.84979,195213
500,prefix,string_quicksort,0.84161,28706.4
500,prefix,string_mergesort,1.25797,195363
500,prefix,msd_radix_sort,2.20031,25911
500,prefix,msd_radix_sort_switch,2.24261,26177.8
600,random,quick_sort,0.33129,7451
600,random,merge_sort,1.0802,6136
600,random,string_quicksort,0.90704,5326.2
600,random,string_mergesort,0.6476,6136
600,random,msd_radix_sort,0.36817,1273
600,random,msd_radix_sort_switch,0.37373,1941.1
600,reverse,quick_sort,0.3507,9156.3
600,reverse,merge_sort,1.07842,4524
600,reverse,string_quicksort,0.82133,5168.7
600,reverse,string_mergesort,0.57916,4524
600,reverse,msd_radix_sort,0.42528,1503
600,reverse,msd_radix_sort_switch,0.63125,3386.3
600,almost,quick_sort,0.35355,9006.4
600,almost,merge_sort,1.03338,6062
600,almost,string_quicksort,0.83843,5184.9
600,almost,string_mergesort,0.61243,6062
600,almost,msd_radix_sort,0.37076,1429
600,almost,msd_radix_sort_switch,0.57173,3363.8
600,prefix,quick_sort,1.48318,257367
600,prefix,merge_sort,2.17291,244872
600,prefix,string_quicksort,1.05663,34512.8
600,prefix,string_mergesort,1.53409,245472
600,prefix,msd_radix_sort,2.67817,31116
600,prefix,msd_radix_sort_switch,2.64132,31535.1
700,random,quick_sort,0.39232,8907.1
700,random,merge_sort,1.29448,7369
700,random,string_quicksort,1.06082,6553.6
700,random,string_mergesort,0.7733,7369
700,random,msd_radix_sort,0.34442,1449
700,random,msd_radix_sort_switch,0.44244,2430.3
700,reverse,quick_sort,0.4023,10916.4
700,reverse,merge_sort,1.29398,5231
700,reverse,string_quicksort,1.03842,6261
700,reverse,string_mergesort,0.65688,5231
700,reverse,msd_radix_sort,0.46445,1710
700,reverse,msd_radix_sort_switch,0.67229,3900.6
700,almost,quick_sort,0.39363,10753
700,almost,merge_sort,1.17852,7306
700,almost,string_quicksort,0.97534,6298.9
700,almost,string_mergesort,0.71957,7306
700,almost,msd_radix_sort,0.42422,1664
700,almost,msd_radix_sort_switch,0.66446,3854.7
700,prefix,quick_sort,1.68532,300924
700,prefix,merge_sort,2.54312,292557
700,prefix,string_quicksort,1.14352,40169.1
700,prefix,string_mergesort,1.82698,294007
700,prefix,msd_radix_sort,2.94202,36293
700,prefix,msd_radix_sort_switch,3.20387,36842.3
800,random,quick_sort,0.45951,10444.1
800,random,merge_sort,1.36439,8769
800,random,string_quicksort,1.23667,7564
800,random,string_mergesort,0.89165,8769
800,random,msd_radix_sort,0.40064,1710
800,random,msd_radix_sort_switch,0.54587,2891.4
800,reverse,quick_sort,0.46393,12578.1
800,reverse,merge_sort,1.3222,6109
800,reverse,string_quicksort,1.13474,7226.9
800,reverse,string_mergesort,0.79469,6109
800,reverse,msd_radix_sort,0.51378,1930
800,reverse,msd_radix_sort_switch,0.80422,4532.2
800,almost,quick_sort,0.45716,12323.7
800,almost,merge_sort,1.32452,8380
800,almost,string_quicksort,1.09064,7059.4
800,almost,string_mergesort,0.82957,8380
800,almost,msd_radix_sort,0.49717,1887
800,almost,msd_radix_sort_switch,0.76029,4293.4
800,prefix,quick_sort,2.09662,366946
800,prefix,merge_sort,2.89984,343090
800,prefix,string_quicksort,1.47276,46367.5
800,prefix,string_mergesort,2.18345,343890
800,prefix,msd_radix_sort,3.47836,41507
800,prefix,msd_radix_sort_switch,3.65553,42251.2
